,constructorId,constructorRef,name,nationality,url,color
108,110,lesovsky,Lesovsky,American,http://en.wikipedia.org/wiki/Lesovsky,purple
109,111,trevis,Trevis,American,http://en.wikipedia.org/wiki/Trevis,white
110,112,meskowski,Meskowski,American,http://en.wikipedia.org/wiki/Meskowski,purple
111,113,kurtis_kraft,Kurtis Kraft,American,http://en.wikipedia.org/wiki/Kurtis_Kraft,green
112,114,kuzma,Kuzma,American,http://en.wikipedia.org/wiki/Kuzma_(constructor),darkgreen
113,115,vhristensen,Christensen,American,http://en.wikipedia.org/wiki/Christensen_(constructor),white
114,116,ewing,Ewing,American,http://en.wikipedia.org/wiki/Ewing_(constructor),darkgreen
115,117,aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin,darkgreen
116,118,vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall,yellow
117,119,moore,Moore,American,http://en.wikipedia.org/wiki/Moore_(constructor),fuschia
118,120,dunn,Dunn,American,http://en.wikipedia.org/wiki/Dunn_Engineering,crimson
119,121,elder,Elder,American,http://en.wikipedia.org/wiki/Elder_(constructor),fuschia
120,122,sutton,Sutton,American,http://en.wikipedia.org/wiki/Sutton_(constructor),green
121,123,fry,Fry,British,http://en.wikipedia.org/wiki/Fry_(racing_team),forestgreen
122,124,tec-mec,Tec-Mec,Italian,http://en.wikipedia.org/wiki/Tec-Mec,turquoise
123,125,connaught,Connaught,British,http://en.wikipedia.org/wiki/Connaught_Engineering,silver
124,126,alta,Alta,British,http://en.wikipedia.org/wiki/Alta_auto_racing_team,purple
125,127,osca,OSCA,Italian,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili,blue
126,128,gordini,Gordini,French,http://en.wikipedia.org/wiki/Gordini,green
127,129,stevens,Stevens,American,http://en.wikipedia.org/wiki/Stevens_(constructor),turquoise
128,130,bugatti,Bugatti,French,http://en.wikipedia.org/wiki/Bugatti,turquoise
129,131,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,#00D2BE
130,132,lancia,Lancia,Italian,http://en.wikipedia.org/wiki/Lancia_in_Formula_One,orange
131,133,hwm,HWM,British,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors,pink
132,134,schroeder,Schroeder,American,http://en.wikipedia.org/wiki/Schroeder_(constructor),bisque
133,135,pawl,Pawl,American,http://en.wikipedia.org/wiki/Pawl_(constructor),pink
134,136,pankratz,Pankratz,American,http://en.wikipedia.org/wiki/Pankratz,silver
135,137,arzani-volpini,Arzani-Volpini,Italian,http://en.wikipedia.org/wiki/Arzani-Volpini,orange
136,138,nichels,Nichels,American,http://en.wikipedia.org/wiki/Nichels,yellow
137,139,bromme,Bromme,American,http://en.wikipedia.org/wiki/Bromme,fuschia
138,140,klenk,Klenk,German,http://en.wikipedia.org/wiki/Klenk,green
139,141,simca,Simca,French,http://en.wikipedia.org/wiki/Simca,bisque
140,142,turner,Turner,American,http://en.wikipedia.org/wiki/Turner_(constructor),bisque
141,143,del_roy,Del Roy,American,http://en.wikipedia.org/wiki/Del_Roy,red
142,144,veritas,Veritas,German,http://en.wikipedia.org/wiki/Veritas_(constructor),cornflowerblue
143,145,bmw,BMW,German,http://en.wikipedia.org/wiki/BMW,yellow
144,146,emw,EMW,East German,http://en.wikipedia.org/wiki/Eisenacher_Motorenwerk,turquoise
145,147,afm,AFM,German,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau,pink
146,148,frazer_nash,Frazer Nash,British,http://en.wikipedia.org/wiki/Frazer_Nash,green
147,149,sherman,Sherman,American,http://en.wikipedia.org/wiki/Sherman_(constructor),crimson
148,150,deidt,Deidt,American,http://en.wikipedia.org/wiki/Deidt,turquoise
149,151,era,ERA,British,http://en.wikipedia.org/wiki/English_Racing_Automobiles,forestgreen
150,152,butterworth,Aston Butterworth,British,http://en.wikipedia.org/wiki/Aston_Butterworth,bisque
151,153,cisitalia,Cisitalia,Italian,http://en.wikipedia.org/wiki/Cisitalia,orange
152,154,lago,Talbot-Lago,French,http://en.wikipedia.org/wiki/Talbot-Lago,white
153,155,hall,Hall,American,http://en.wikipedia.org/wiki/Hall_(constructor),orange
154,156,marchese,Marchese,American,http://en.wikipedia.org/wiki/Marchese_(constructor),crimson
155,157,langley,Langley,American,http://en.wikipedia.org/wiki/Langley_(constructor),bisque
156,158,rae,Rae,American,http://en.wikipedia.org/wiki/Rae_(motorsport),silver
157,159,olson,Olson,American,http://en.wikipedia.org/wiki/Olson_(constructor),silver
158,160,wetteroth,Wetteroth,American,http://en.wikipedia.org/wiki/Wetteroth,bisque
159,161,adams,Adams,American,http://en.wikipedia.org/wiki/Adams_(constructor),red
160,162,snowberger,Snowberger,American,http://en.wikipedia.org/wiki/Snowberger,bisque
161,163,milano,Milano,Italian,http://en.wikipedia.org/wiki/Scuderia_Milano,darkgreen
162,164,hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing,forestgreen
163,167,cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,blue
164,166,virgin,Virgin,British,http://en.wikipedia.org/wiki/Virgin_Racing,turquoise
165,168,cooper-osca,Cooper-OSCA,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,blue
166,169,cooper-borgward,Cooper-Borgward,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,white
167,170,cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,turquoise
168,171,cooper-castellotti,Cooper-Castellotti,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,crimson
169,172,lotus-climax,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus,silver
170,173,lotus-maserati,Lotus-Maserati,British,http://en.wikipedia.org/wiki/Team_Lotus,turquoise
171,174,de_tomaso-osca,De Tomaso-Osca,Italian,http://en.wikipedia.org/wiki/De_Tomaso,pink
172,175,de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian,http://en.wikipedia.org/wiki/De_Tomaso,crimson
173,176,lotus-brm,Lotus-BRM,British,http://en.wikipedia.org/wiki/Team_Lotus,orange
174,177,lotus-borgward,Lotus-Borgward,British,http://en.wikipedia.org/wiki/Team_Lotus,forestgreen
175,178,cooper-alfa_romeo,Cooper-Alfa Romeo,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,white
176,179,de_tomaso-ferrari,De Tomaso-Ferrari,Italian,http://en.wikipedia.org/wiki/De_Tomaso,red
177,180,lotus-ford,Lotus-Ford,British,http://en.wikipedia.org/wiki/Team_Lotus,fuschia
178,181,brabham-brm,Brabham-BRM,British,http://en.wikipedia.org/wiki/Brabham,silver
179,182,brabham-ford,Brabham-Ford,British,http://en.wikipedia.org/wiki/Brabham,darkgreen
180,183,brabham-climax,Brabham-Climax,British,http://en.wikipedia.org/wiki/Brabham,bisque
181,184,lds-climax,LDS-Climax,South African,http://en.wikipedia.org/wiki/LDS_(automobile),forestgreen
182,185,lds-alfa_romeo,LDS-Alfa Romeo,South African,http://en.wikipedia.org/wiki/LDS_(automobile),turquoise
183,186,cooper-ford,Cooper-Ford,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,bisque
184,187,mclaren-ford,McLaren-Ford,British,http://en.wikipedia.org/wiki/Team_McLaren,turquoise
185,188,mclaren-seren,McLaren-Serenissima,British,http://en.wikipedia.org/wiki/Team_McLaren,cornflowerblue
186,189,eagle-climax,Eagle-Climax,American,http://en.wikipedia.org/wiki/Anglo_American_Racers,fuschia
187,190,eagle-weslake,Eagle-Weslake,American,http://en.wikipedia.org/wiki/Anglo_American_Racers,turquoise
188,191,brabham-repco,Brabham-Repco,British,http://en.wikipedia.org/wiki/Brabham,red
189,192,cooper-ferrari,Cooper-Ferrari,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,fuschia
190,193,cooper-ats,Cooper-ATS,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,orange
191,194,mclaren-brm,McLaren-BRM,British,http://en.wikipedia.org/wiki/McLaren_(racing),orange
192,195,cooper-brm,Cooper-BRM,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,pink
193,196,matra-ford,Matra-Ford,French,http://en.wikipedia.org/wiki/Matra,white
